"true_img","subject_id","label","N","plot"
"15","1","humans",1,FALSE
"45","1","humans",1,FALSE
"75","1","humans",1,FALSE
"105","1","humans",1,FALSE
"135","1","humans",1,FALSE
"165","1","humans",1,FALSE
"195","1","humans",1,FALSE
"225","1","humans",1,FALSE
"255","1","humans",1,FALSE
"285","1","humans",1,FALSE
"315","1","humans",1,FALSE
"345","1","humans",1,FALSE
"375","1","humans",1,FALSE
"405","1","humans",1,FALSE
"435","1","humans",1,FALSE
"465","1","humans",1,FALSE
"525","1","humans",1,FALSE
"915","1","humans",1,FALSE
"945","1","humans",1,FALSE
"975","1","humans",1,FALSE
"1005","1","humans",1,FALSE
"1035","1","humans",1,FALSE
"1065","1","humans",1,FALSE
"1095","1","humans",1,FALSE
"1125","1","humans",1,FALSE
"1155","1","humans",1,FALSE
"1185","1","humans",1,FALSE
"1215","1","humans",1,FALSE
"1245","1","humans",1,FALSE
"1275","1","humans",1,FALSE
"1305","1","humans",1,FALSE
"1335","1","humans",1,FALSE
"1365","1","humans",1,FALSE
"1395","1","humans",1,FALSE
"1425","1","humans",1,FALSE
"1455","1","humans",1,FALSE
"1485","1","humans",1,FALSE
"495","1","crab",1,FALSE
"555","1","crab",1,FALSE
"585","1","crab",1,FALSE
"615","1","crab",1,FALSE
"645","1","crab",1,FALSE
"675","1","crab",1,FALSE
"705","1","crab",1,FALSE
"735","1","crab",1,FALSE
"765","1","crab",1,FALSE
"795","1","crab",1,FALSE
"825","1","crab",1,FALSE
"855","1","crab",1,FALSE
"885","1","crab",1,FALSE
"555","2","arms",1,TRUE
"585","2","arms",1,TRUE
"615","2","arms",1,TRUE
"645","2","arms",1,TRUE
"675","2","arms",1,TRUE
"705","2","arms",1,TRUE
"735","2","arms",1,TRUE
"765","2","arms",1,TRUE
"795","2","arms",1,TRUE
"825","2","arms",1,TRUE
"915","2","closed",1,TRUE
"1005","2","closed",1,TRUE
"1065","2","closed",1,TRUE
"1095","2","closed",1,TRUE
"1125","2","closed",1,TRUE
"1185","2","closed",1,TRUE
"1275","2","closed",1,TRUE
"1305","2","closed",1,TRUE
"1335","2","closed",1,TRUE
"15","2","circle",1,TRUE
"75","2","circle",1,TRUE
"195","2","circle",1,TRUE
"255","2","circle",1,TRUE
"285","2","circle",1,TRUE
"315","2","circle",1,TRUE
"375","2","circle",1,TRUE
"405","2","circle",1,TRUE
"435","2","circle",1,TRUE
"45","2","circl2",1,TRUE
"105","2","circl2",1,TRUE
"135","2","circl2",1,TRUE
"165","2","circl2",1,TRUE
"225","2","circl2",1,TRUE
"345","2","circl2",1,TRUE
"465","2","circl2",1,TRUE
"495","2","circl2",1,TRUE
"525","2","circl2",1,TRUE
"1365","2","bottom",1,TRUE
"1395","2","bottom",1,TRUE
"1425","2","bottom",1,TRUE
"1455","2","bottom",1,TRUE
"1485","2","bottom",1,TRUE
"855","2","close2",1,TRUE
"885","2","close2",1,TRUE
"945","2","close2",1,TRUE
"975","2","close2",1,TRUE
"1035","2","close2",1,TRUE
"1155","2","close2",1,TRUE
"1215","2","close2",1,TRUE
"1245","2","close2",1,TRUE
"1155","3","skinny",1,FALSE
"1185","3","skinny",1,FALSE
"1215","3","skinny",1,FALSE
"1245","3","skinny",1,FALSE
"1275","3","skinny",1,FALSE
"1305","3","skinny",1,FALSE
"1335","3","skinny",1,FALSE
"1365","3","skinny",1,FALSE
"195","3","lotus",1,FALSE
"225","3","lotus",1,FALSE
"255","3","lotus",1,FALSE
"285","3","lotus",1,FALSE
"315","3","lotus",1,FALSE
"345","3","lotus",1,FALSE
"375","3","lotus",1,FALSE
"405","3","lotus",1,FALSE
"435","3","lotus",1,FALSE
"465","3","lotus",1,FALSE
"645","3","crab",1,FALSE
"675","3","crab",1,FALSE
"705","3","crab",1,FALSE
"735","3","crab",1,FALSE
"765","3","crab",1,FALSE
"795","3","crab",1,FALSE
"825","3","crab",1,FALSE
"855","3","crab",1,FALSE
"885","3","crab",1,FALSE
"915","3","crab",1,FALSE
"945","3","crab",1,FALSE
"975","3","spin",1,FALSE
"1005","3","spin",1,FALSE
"1035","3","spin",1,FALSE
"1065","3","spin",1,FALSE
"1095","3","spin",1,FALSE
"1125","3","spin",1,FALSE
"15","3","dots",1,FALSE
"45","3","dots",1,FALSE
"75","3","dots",1,FALSE
"105","3","dots",1,FALSE
"135","3","dots",1,FALSE
"165","3","dots",1,FALSE
"1395","3","invert",1,FALSE
"1425","3","invert",1,FALSE
"1455","3","invert",1,FALSE
"1485","3","invert",1,FALSE
"495","3","squats",1,FALSE
"525","3","squats",1,FALSE
"555","3","squats",1,FALSE
"585","3","squats",1,FALSE
"615","3","squats",1,FALSE
"675","4","jumpin",1,TRUE
"705","4","jumpin",1,TRUE
"795","4","jumpin",1,TRUE
"825","4","jumpin",1,TRUE
"855","4","jumpin",1,TRUE
"885","4","jumpin",1,TRUE
"915","4","jumpin",1,TRUE
"945","4","jumpin",1,TRUE
"975","4","jumpin",1,TRUE
"1005","4","jumpin",1,TRUE
"1035","4","jumpin",1,TRUE
"1065","4","jumpin",1,TRUE
"1095","4","jumpin",1,TRUE
"1125","4","jumpin",1,TRUE
"1155","4","jumpin",1,TRUE
"1185","4","jumpin",1,TRUE
"1215","4","jumpin",1,TRUE
"1245","4","jumpin",1,TRUE
"1275","4","jumpin",1,TRUE
"1305","4","jumpin",1,TRUE
"1335","4","jumpin",1,TRUE
"1365","4","jumpin",1,TRUE
"1395","4","jumpin",1,TRUE
"1425","4","jumpin",1,TRUE
"1455","4","jumpin",1,TRUE
"1485","4","jumpin",1,TRUE
"15","4","prayin",1,TRUE
"45","4","prayin",1,TRUE
"105","4","prayin",1,TRUE
"135","4","prayin",1,TRUE
"645","4","prayin",1,TRUE
"735","4","prayin",1,TRUE
"765","4","prayin",1,TRUE
"75","4","flat",1,TRUE
"165","4","flat",1,TRUE
"195","4","flat",1,TRUE
"225","4","flat",1,TRUE
"255","4","flat",1,TRUE
"285","4","flat",1,TRUE
"315","4","flat",1,TRUE
"345","4","flat",1,TRUE
"375","4","flat",1,TRUE
"405","4","flat",1,TRUE
"435","4","flat",1,TRUE
"465","4","flat",1,TRUE
"495","4","flat",1,TRUE
"525","4","flat",1,TRUE
"555","4","flat",1,TRUE
"585","4","flat",1,TRUE
"615","4","flat",1,TRUE
"15","5","gypsy",1,TRUE
"45","5","gypsy",1,TRUE
"75","5","gypsy",1,TRUE
"105","5","gypsy",1,TRUE
"135","5","gypsy",1,TRUE
"615","5","gypsy",1,TRUE
"645","5","gypsy",1,TRUE
"675","5","gypsy",1,TRUE
"705","5","gypsy",1,TRUE
"735","5","gypsy",1,TRUE
"765","5","gypsy",1,TRUE
"795","5","gypsy",1,TRUE
"825","5","gypsy",1,TRUE
"855","5","gypsy",1,TRUE
"885","5","gypsy",1,TRUE
"915","5","gypsy",1,TRUE
"945","5","gypsy",1,TRUE
"975","5","gypsy",1,TRUE
"1005","5","gypsy",1,TRUE
"1275","5","gypsy",1,TRUE
"1305","5","gypsy",1,TRUE
"1335","5","gypsy",1,TRUE
"1365","5","gypsy",1,TRUE
"1395","5","gypsy",1,TRUE
"1425","5","gypsy",1,TRUE
"1455","5","gypsy",1,TRUE
"1485","5","gypsy",1,TRUE
"165","5","daisy",1,TRUE
"195","5","daisy",1,TRUE
"225","5","daisy",1,TRUE
"255","5","daisy",1,TRUE
"285","5","daisy",1,TRUE
"315","5","daisy",1,TRUE
"345","5","daisy",1,TRUE
"375","5","daisy",1,TRUE
"405","5","daisy",1,TRUE
"435","5","daisy",1,TRUE
"465","5","daisy",1,TRUE
"495","5","daisy",1,TRUE
"525","5","daisy",1,TRUE
"555","5","daisy",1,TRUE
"585","5","daisy",1,TRUE
"1035","5","duke",1,TRUE
"1065","5","duke",1,TRUE
"1095","5","duke",1,TRUE
"1125","5","duke",1,TRUE
"1155","5","duke",1,TRUE
"1185","5","duke",1,TRUE
"1215","5","duke",1,TRUE
"1245","5","duke",1,TRUE
"255","6","fly",1,FALSE
"285","6","fly",1,FALSE
"315","6","fly",1,FALSE
"345","6","fly",1,FALSE
"375","6","fly",1,FALSE
"405","6","fly",1,FALSE
"435","6","fly",1,FALSE
"465","6","fly",1,FALSE
"495","6","fly",1,FALSE
"15","6","body",1,FALSE
"45","6","body",1,FALSE
"75","6","body",1,FALSE
"135","6","body",1,FALSE
"1035","6","whale",1,FALSE
"1065","6","whale",1,FALSE
"1095","6","whale",1,FALSE
"1125","6","whale",1,FALSE
"105","6","lotus",1,FALSE
"165","6","lotus",1,FALSE
"195","6","lotus",1,FALSE
"225","6","lotus",1,FALSE
"525","6","lotus",1,FALSE
"555","6","lotus",1,FALSE
"1005","6","tall",1,FALSE
"1155","6","tall",1,FALSE
"1185","6","tall",1,FALSE
"1215","6","tall",1,FALSE
"1245","6","tall",1,FALSE
"1275","6","tall",1,FALSE
"1425","6","x + o",1,FALSE
"1455","6","x + o",1,FALSE
"1485","6","x + o",1,FALSE
"585","6","x",1,FALSE
"615","6","x",1,FALSE
"645","6","x",1,FALSE
"675","6","x",1,FALSE
"705","6","x",1,FALSE
"735","6","x",1,FALSE
"765","6","x",1,FALSE
"795","6","bug",1,FALSE
"825","6","bug",1,FALSE
"855","6","bug",1,FALSE
"885","6","bug",1,FALSE
"915","6","bug",1,FALSE
"945","6","bug",1,FALSE
"975","6","bug",1,FALSE
"1305","6","alien",1,FALSE
"1335","6","alien",1,FALSE
"1365","6","alien",1,FALSE
"1395","6","alien",1,FALSE
"765","7","vertic",1,TRUE
"795","7","vertic",1,TRUE
"825","7","vertic",1,TRUE
"855","7","vertic",1,TRUE
"885","7","vertic",1,TRUE
"915","7","vertic",1,TRUE
"945","7","vertic",1,TRUE
"975","7","vertic",1,TRUE
"1005","7","vertic",1,TRUE
"1035","7","vertic",1,TRUE
"1065","7","vertic",1,TRUE
"1095","7","vertic",1,TRUE
"1125","7","vertic",1,TRUE
"1155","7","vertic",1,TRUE
"1185","7","vertic",1,TRUE
"1215","7","vertic",1,TRUE
"1245","7","vertic",1,TRUE
"1275","7","vertic",1,TRUE
"1305","7","vertic",1,TRUE
"1335","7","vertic",1,TRUE
"1365","7","vertic",1,TRUE
"1395","7","vertic",1,TRUE
"1425","7","vertic",1,TRUE
"1455","7","vertic",1,TRUE
"165","7","horiz",1,TRUE
"195","7","horiz",1,TRUE
"225","7","horiz",1,TRUE
"255","7","horiz",1,TRUE
"285","7","horiz",1,TRUE
"315","7","horiz",1,TRUE
"345","7","horiz",1,TRUE
"375","7","horiz",1,TRUE
"405","7","horiz",1,TRUE
"435","7","horiz",1,TRUE
"465","7","horiz",1,TRUE
"495","7","horiz",1,TRUE
"525","7","horiz",1,TRUE
"555","7","horiz",1,TRUE
"585","7","horiz",1,TRUE
"15","7","spread",1,TRUE
"45","7","spread",1,TRUE
"75","7","spread",1,TRUE
"105","7","spread",1,TRUE
"135","7","spread",1,TRUE
"615","7","spread",1,TRUE
"645","7","spread",1,TRUE
"675","7","spread",1,TRUE
"705","7","spread",1,TRUE
"735","7","spread",1,TRUE
"1485","7","spread",1,TRUE
"165","8","legs",1,FALSE
"195","8","legs",1,FALSE
"225","8","legs",1,FALSE
"255","8","legs",1,FALSE
"285","8","legs",1,FALSE
"315","8","legs",1,FALSE
"345","8","legs",1,FALSE
"375","8","legs",1,FALSE
"405","8","legs",1,FALSE
"435","8","legs",1,FALSE
"465","8","legs",1,FALSE
"495","8","legs",1,FALSE
"525","8","legs",1,FALSE
"555","8","arms",1,FALSE
"585","8","arms",1,FALSE
"615","8","arms",1,FALSE
"645","8","arms",1,FALSE
"675","8","arms",1,FALSE
"705","8","arms",1,FALSE
"735","8","arms",1,FALSE
"765","8","arms",1,FALSE
"795","8","arms",1,FALSE
"825","8","arms",1,FALSE
"855","8","arms",1,FALSE
"885","8","arms",1,FALSE
"915","8","arms",1,FALSE
"945","8","arms",1,FALSE
"975","8","arms",1,FALSE
"15","8","cross",1,FALSE
"45","8","cross",1,FALSE
"75","8","cross",1,FALSE
"105","8","cross",1,FALSE
"135","8","cross",1,FALSE
"1005","8","clasp ",1,FALSE
"1035","8","clasp ",1,FALSE
"1065","8","clasp ",1,FALSE
"1095","8","clasp ",1,FALSE
"1125","8","clasp ",1,FALSE
"1155","8","clasp ",1,FALSE
"1185","8","clasp ",1,FALSE
"1215","8","clasp ",1,FALSE
"1245","8","clasp ",1,FALSE
"1275","8","down",1,FALSE
"1305","8","down",1,FALSE
"1335","8","down",1,FALSE
"1365","8","down",1,FALSE
"1395","8","down",1,FALSE
"1425","8","down",1,FALSE
"1455","8","down",1,FALSE
"1485","8","down",1,FALSE
"75","9","crab",1,FALSE
"105","9","crab",1,FALSE
"195","9","crab",1,FALSE
"465","9","crab",1,FALSE
"495","9","crab",1,FALSE
"525","9","crab",1,FALSE
"555","9","crab",1,FALSE
"585","9","crab",1,FALSE
"615","9","crab",1,FALSE
"645","9","crab",1,FALSE
"675","9","crab",1,FALSE
"705","9","crab",1,FALSE
"735","9","crab",1,FALSE
"765","9","crab",1,FALSE
"795","9","crab",1,FALSE
"825","9","crab",1,FALSE
"855","9","crab",1,FALSE
"885","9","crab",1,FALSE
"15","9","yoga",1,FALSE
"45","9","yoga",1,FALSE
"135","9","yoga",1,FALSE
"165","9","yoga",1,FALSE
"225","9","yoga",1,FALSE
"915","9","yoga",1,FALSE
"945","9","yoga",1,FALSE
"975","9","yoga",1,FALSE
"1455","9","yoga",1,FALSE
"1485","9","yoga",1,FALSE
"255","9","dragon",1,FALSE
"285","9","dragon",1,FALSE
"315","9","dragon",1,FALSE
"345","9","dragon",1,FALSE
"375","9","dragon",1,FALSE
"405","9","dragon",1,FALSE
"435","9","dragon",1,FALSE
"1215","9","helico",1,FALSE
"1275","9","helico",1,FALSE
"1305","9","helico",1,FALSE
"1335","9","helico",1,FALSE
"1365","9","helico",1,FALSE
"1395","9","helico",1,FALSE
"1425","9","helico",1,FALSE
"1005","9","whales",1,FALSE
"1035","9","whales",1,FALSE
"1065","9","whales",1,FALSE
"1095","9","whales",1,FALSE
"1125","9","whales",1,FALSE
"1155","9","whales",1,FALSE
"1185","9","whales",1,FALSE
"1245","9","whales",1,FALSE
"15","10","cross",1,TRUE
"45","10","cross",1,TRUE
"75","10","cross",1,TRUE
"105","10","cross",1,TRUE
"135","10","cross",1,TRUE
"165","10","cross",1,TRUE
"195","10","cross",1,TRUE
"225","10","cross",1,TRUE
"255","10","fly",1,TRUE
"285","10","fly",1,TRUE
"315","10","fly",1,TRUE
"345","10","fly",1,TRUE
"375","10","fly",1,TRUE
"405","10","fly",1,TRUE
"435","10","fly",1,TRUE
"465","10","crab",1,TRUE
"495","10","crab",1,TRUE
"525","10","crab",1,TRUE
"555","10","crab",1,TRUE
"585","10","crab",1,TRUE
"615","10","crab",1,TRUE
"645","10","hands",1,TRUE
"675","10","hands",1,TRUE
"705","10","hands",1,TRUE
"735","10","hands",1,TRUE
"765","10","hands",1,TRUE
"795","10","hands",1,TRUE
"825","10","hands",1,TRUE
"855","10","hands",1,TRUE
"885","10","hands",1,TRUE
"915","10","hands",1,TRUE
"945","10","hands",1,TRUE
"975","10","hands",1,TRUE
"1215","10","ears",1,TRUE
"1245","10","ears",1,TRUE
"1275","10","ears",1,TRUE
"1305","10","ears",1,TRUE
"1335","10","ears",1,TRUE
"1365","10","ears",1,TRUE
"1395","10","ears",1,TRUE
"1425","10","ears",1,TRUE
"1005","10","closed",1,TRUE
"1035","10","closed",1,TRUE
"1065","10","closed",1,TRUE
"1095","10","closed",1,TRUE
"1125","10","closed",1,TRUE
"1155","10","closed",1,TRUE
"1185","10","closed",1,TRUE
"1455","10","xmen",1,TRUE
"1485","10","xmen",1,TRUE
"975","11","reach",1,FALSE
"1005","11","reach",1,FALSE
"1035","11","reach",1,FALSE
"1065","11","reach",1,FALSE
"1095","11","reach",1,FALSE
"1125","11","reach",1,FALSE
"1155","11","reach",1,FALSE
"1185","11","reach",1,FALSE
"495","11","lifter",1,FALSE
"525","11","lifter",1,FALSE
"555","11","lifter",1,FALSE
"585","11","lifter",1,FALSE
"615","11","lifter",1,FALSE
"645","11","lifter",1,FALSE
"675","11","lifter",1,FALSE
"705","11","lifter",1,FALSE
"735","11","lifter",1,FALSE
"765","11","lifter",1,FALSE
"795","11","lifter",1,FALSE
"825","11","lifter",1,FALSE
"855","11","lifter",1,FALSE
"885","11","lifter",1,FALSE
"915","11","lifter",1,FALSE
"945","11","lifter",1,FALSE
"255","11","angel",1,FALSE
"285","11","angel",1,FALSE
"315","11","angel",1,FALSE
"345","11","angel",1,FALSE
"15","11","jump",1,FALSE
"45","11","jump",1,FALSE
"75","11","jump",1,FALSE
"105","11","jump",1,FALSE
"135","11","jump",1,FALSE
"165","11","jump",1,FALSE
"195","11","jump",1,FALSE
"225","11","jump",1,FALSE
"375","11","jump",1,FALSE
"405","11","jump",1,FALSE
"435","11","jump",1,FALSE
"465","11","jump",1,FALSE
"1215","11","onhead",1,FALSE
"1245","11","onhead",1,FALSE
"1275","11","onhead",1,FALSE
"1305","11","onhead",1,FALSE
"1335","11","onhead",1,FALSE
"1365","11","onhead",1,FALSE
"1395","11","onhead",1,FALSE
"1425","11","onhead",1,FALSE
"1455","11","onhead",1,FALSE
"1485","11","onhead",1,FALSE
"135","13","short",1,TRUE
"165","13","short",1,TRUE
"195","13","short",1,TRUE
"225","13","short",1,TRUE
"255","13","short",1,TRUE
"285","13","short",1,TRUE
"315","13","short",1,TRUE
"345","13","short",1,TRUE
"375","13","short",1,TRUE
"405","13","short",1,TRUE
"435","13","short",1,TRUE
"465","13","short",1,TRUE
"495","13","short",1,TRUE
"525","13","short",1,TRUE
"555","13","short",1,TRUE
"585","13","short",1,TRUE
"615","13","short",1,TRUE
"645","13","short",1,TRUE
"855","13","skinny",1,TRUE
"915","13","skinny",1,TRUE
"975","13","skinny",1,TRUE
"1005","13","skinny",1,TRUE
"1035","13","skinny",1,TRUE
"1065","13","skinny",1,TRUE
"1095","13","skinny",1,TRUE
"1125","13","skinny",1,TRUE
"1155","13","skinny",1,TRUE
"1185","13","skinny",1,TRUE
"1215","13","skinny",1,TRUE
"1245","13","skinny",1,TRUE
"1275","13","skinny",1,TRUE
"1305","13","skinny",1,TRUE
"885","13","wide",1,TRUE
"945","13","wide",1,TRUE
"1335","13","wide",1,TRUE
"1365","13","wide",1,TRUE
"1395","13","wide",1,TRUE
"1425","13","wide",1,TRUE
"15","13","cross",1,TRUE
"45","13","cross",1,TRUE
"75","13","cross",1,TRUE
"105","13","cross",1,TRUE
"675","13","cross",1,TRUE
"705","13","cross",1,TRUE
"735","13","cross",1,TRUE
"765","13","cross",1,TRUE
"795","13","cross",1,TRUE
"825","13","cross",1,TRUE
"1455","13","cross",1,TRUE
"1485","13","cross",1,TRUE
"15","14","dots",1,FALSE
"45","14","dots",1,FALSE
"75","14","dots",1,FALSE
"105","14","dots",1,FALSE
"135","14","dots",1,FALSE
"165","14","dots",1,FALSE
"195","14","dots",1,FALSE
"225","14","dots",1,FALSE
"255","14","dots",1,FALSE
"285","14","dots",1,FALSE
"315","14","dots",1,FALSE
"345","14","dots",1,FALSE
"375","14","dots",1,FALSE
"405","14","dots",1,FALSE
"435","14","dots",1,FALSE
"465","14","dots",1,FALSE
"495","14","dots",1,FALSE
"525","14","dots",1,FALSE
"1455","14","dots",1,FALSE
"1485","14","dots",1,FALSE
"555","14","open",1,FALSE
"585","14","open",1,FALSE
"615","14","open",1,FALSE
"645","14","open",1,FALSE
"675","14","open",1,FALSE
"705","14","open",1,FALSE
"735","14","open",1,FALSE
"765","14","open",1,FALSE
"795","14","open",1,FALSE
"825","14","open",1,FALSE
"855","14","open",1,FALSE
"885","14","open",1,FALSE
"915","14","open",1,FALSE
"945","14","open",1,FALSE
"1095","14","open",1,FALSE
"975","14","closed",1,FALSE
"1005","14","closed",1,FALSE
"1035","14","closed",1,FALSE
"1065","14","closed",1,FALSE
"1125","14","closed",1,FALSE
"1155","14","closed",1,FALSE
"1185","14","closed",1,FALSE
"1215","14","closed",1,FALSE
"1245","14","closed",1,FALSE
"1275","14","closed",1,FALSE
"1305","14","closed",1,FALSE
"1335","14","closed",1,FALSE
"1365","14","closed",1,FALSE
"1395","14","closed",1,FALSE
"1425","14","closed",1,FALSE
"15","15","ommm",1,FALSE
"45","15","ommm",1,FALSE
"75","15","ommm",1,FALSE
"105","15","ommm",1,FALSE
"135","15","ommm",1,FALSE
"165","15","ommm",1,FALSE
"195","15","ommm",1,FALSE
"225","15","ommm",1,FALSE
"255","15","ommm",1,FALSE
"285","15","ommm",1,FALSE
"315","15","ommm",1,FALSE
"345","15","ommm",1,FALSE
"375","15","ommm",1,FALSE
"405","15","ommm",1,FALSE
"435","15","ommm",1,FALSE
"465","15","ommm",1,FALSE
"495","15","ommm",1,FALSE
"525","15","ommm",1,FALSE
"555","15","ommm",1,FALSE
"585","15","ommm",1,FALSE
"615","15","ommm",1,FALSE
"645","15","ommm",1,FALSE
"675","15","ommm",1,FALSE
"705","15","ommm",1,FALSE
"735","15","ommm",1,FALSE
"765","15","ommm",1,FALSE
"795","15","ommm",1,FALSE
"825","15","ommm",1,FALSE
"1395","15","ommm",1,FALSE
"1425","15","ommm",1,FALSE
"1455","15","ommm",1,FALSE
"1485","15","ommm",1,FALSE
"855","15","tongs",1,FALSE
"885","15","tongs",1,FALSE
"915","15","tongs",1,FALSE
"945","15","tongs",1,FALSE
"975","15","tongs",1,FALSE
"1005","15","tongs",1,FALSE
"1035","15","tongs",1,FALSE
"1065","15","tongs",1,FALSE
"1095","15","tongs",1,FALSE
"1125","15","tongs",1,FALSE
"1155","15","tongs",1,FALSE
"1185","15","tongs",1,FALSE
"1215","15","tongs",1,FALSE
"1245","15","tongs",1,FALSE
"1275","15","tongs",1,FALSE
"1305","15","tongs",1,FALSE
"1335","15","tongs",1,FALSE
"1365","15","tongs",1,FALSE
"195","16","flat",1,FALSE
"225","16","flat",1,FALSE
"255","16","flat",1,FALSE
"285","16","flat",1,FALSE
"315","16","flat",1,FALSE
"345","16","flat",1,FALSE
"375","16","flat",1,FALSE
"405","16","flat",1,FALSE
"435","16","flat",1,FALSE
"465","16","flat",1,FALSE
"495","16","flat",1,FALSE
"525","16","flat",1,FALSE
"555","16","flat",1,FALSE
"585","16","flat",1,FALSE
"615","16","flat",1,FALSE
"645","16","flat",1,FALSE
"855","16","up",1,FALSE
"915","16","up",1,FALSE
"945","16","up",1,FALSE
"975","16","up",1,FALSE
"1005","16","up",1,FALSE
"1035","16","up",1,FALSE
"1065","16","up",1,FALSE
"1095","16","up",1,FALSE
"1125","16","up",1,FALSE
"1155","16","up",1,FALSE
"1185","16","up",1,FALSE
"1215","16","up",1,FALSE
"1245","16","up",1,FALSE
"1275","16","up",1,FALSE
"1305","16","up",1,FALSE
"1335","16","up",1,FALSE
"1365","16","up",1,FALSE
"15","16","cross",1,FALSE
"45","16","cross",1,FALSE
"75","16","cross",1,FALSE
"105","16","cross",1,FALSE
"135","16","cross",1,FALSE
