"instance_id","node_id","guess","N"
222,23226,20,24
222,22468,3,24
222,22516,32,24
222,24017,20,24
222,22793,50,24
222,23586,5,24
222,22657,20,24
222,22879,10,24
222,23614,7,24
222,23933,4,24
222,23208,6,24
222,23912,8,24
222,23594,10,24
222,23239,10,24
222,22841,6,24
222,23329,5,24
222,24284,2,24
222,23821,4,24
222,23988,10,24
222,24207,2,24
222,22817,10,24
222,22633,5,24
223,23028,60,24
223,23515,7,24
223,24195,1,24
223,24046,NA,24
223,23916,12,24
223,23393,50,24
223,22470,10,24
223,22828,4,24
223,23362,3,24
223,23000,20,24
223,22567,2,24
223,23495,15,24
223,23199,5,24
223,22577,18,24
223,24211,5,24
223,23442,180,24
223,22463,10,24
223,22435,50,24
223,22730,6,24
223,23417,40,24
223,23617,4,24
223,23317,7,24
224,23178,50,24
224,24200,NA,24
224,23835,10,24
224,23649,10,24
224,22756,6,24
224,23303,45,24
224,22497,20,24
224,22812,20,24
224,24338,10,24
224,23246,3,24
224,22936,30,24
224,22401,50,24
224,24280,12,24
224,23065,15,24
224,23176,4,24
224,24099,10,24
224,24363,4,24
224,24023,10,24
224,23237,4,24
225,24303,3,24
225,22944,6,24
225,23473,15,24
225,23321,8,24
225,23450,8,24
225,23886,50,24
225,23925,20,24
225,24016,15,24
225,22778,100,24
225,22467,100,24
225,22440,10,24
225,22642,3,24
225,22736,10,24
225,22546,6,24
225,23823,5,24
225,22615,10,24
225,22712,10,24
225,23353,4,24
225,24135,8,24
225,23078,2,24
225,23607,6,24
225,22680,3,24
225,24168,2,24
226,24256,19,24
226,22574,20,24
226,22568,10,24
226,22682,6,24
226,22399,5,24
226,22519,5,24
226,22829,50,24
226,23994,10,24
226,23887,8,24
226,24071,12,24
226,22913,5,24
226,22429,5,24
226,23432,200,24
226,23774,20,24
226,24335,20,24
226,22748,20,24
226,24118,10,24
226,23528,40,24
226,23733,2,24
226,23711,10,24
226,24065,10,24
227,23798,3,24
227,22390,12,24
227,22453,6,24
227,22890,10,24
227,22855,25,24
227,23553,6,24
227,23964,4,24
227,22636,10,24
227,24176,2,24
227,23387,25,24
227,23163,25,24
227,23714,500,24
227,23367,10,24
227,24350,15,24
227,22565,20,24
227,23573,4,24
227,23878,1,24
227,22438,6,24
227,24289,10,24
227,23005,10,24
227,23708,3,24
229,23934,10,24
229,23521,3,24
229,24201,50,24
229,23255,5,24
229,23300,4,24
229,23257,5,24
229,23396,12,24
229,22471,100,24
229,24012,5,24
229,23534,1,24
229,23546,6,24
229,23907,3,24
229,24291,4,24
229,23544,3,24
229,23773,4,24
229,23587,10,24
229,23077,6,24
229,23623,10,24
229,23539,6,24
229,22543,4,24
229,23971,4,24
229,24068,NA,24
230,23251,4,24
230,23411,10,24
230,23198,1,24
230,22995,2,24
230,23083,10,24
230,22396,6,24
230,22864,3,24
230,22623,5,24
230,23349,20,24
230,23437,10,24
230,22480,10,24
230,22473,5,24
230,23785,10,24
230,22466,5,24
230,23356,50,24
230,23211,20,24
230,22408,15,24
230,23354,25,24
230,23183,20,24
230,23117,5,24
230,22979,200,24
230,22609,6,24
231,23803,6,24
231,22929,10,24
231,23207,50,24
231,23810,100,24
231,23960,4,24
231,24027,50,24
231,23369,8,24
231,24105,5,24
231,23658,5,24
231,23215,3,24
231,24033,25,24
231,22738,5,24
231,23633,50,24
231,23426,6,24
231,22652,20,24
231,22580,10,24
231,23946,10,24
231,24339,20,24
231,23342,6,24
231,23980,4,24
231,22618,20,24
231,23397,5,24
234,25059,1,2
234,25586,3,2
237,23717,NA,2
237,23107,4,2
238,24206,4,2
238,23066,5,2
239,23921,3,2
239,23953,4,2
240,23295,NA,2
240,23551,10,2
241,23567,5,2
241,22520,6,2
242,23070,2,2
242,24208,1,2
243,22686,5,2
243,23541,100,2
244,23576,NA,2
244,23517,4,2
245,24288,15,2
245,23555,10,2
247,22914,20,2
247,23816,20,2
248,24304,10,2
249,24087,20,2
249,23582,3,2
250,23458,2,2
250,23895,20,2
251,24691,NA,2
251,25867,4,2
253,32742,4,2
253,32917,3,2
260,27048,NA,2
260,27292,10,2
261,25965,6,2
261,25088,3,2
262,21303,6,2
262,21303,6,2
262,25967,2,2
263,24745,3,2
263,24387,30,2
264,25983,4,2
264,25999,2,2
265,25948,10,2
265,25391,100,2
266,21360,5,2
266,21374,1,2
267,25559,16,2
267,25341,4,2
268,25115,20,2
268,25177,10,2
269,25413,40,2
269,25425,1,2
272,27707,2,2
272,27104,5,2
273,27781,2,2
273,27865,2,2
274,32529,1,2
274,32531,15,2
275,28541,45,2
275,32353,10,2
276,32240,6,2
276,8010,5,2
277,7909,1,2
277,7986,2,2
278,32247,28,2
278,8181,1,2
280,27520,2,2
280,27089,20,2
281,27738,2,2
281,27101,5,2
283,27194,10,2
283,27548,4,2
284,27265,3,2
284,27850,20,2
285,27760,4,2
285,27872,NA,2
286,27688,NA,2
286,27042,10,2
287,27789,1,2
287,27000,4,2
292,32549,10,50
292,32344,NA,50
292,7414,120,50
292,7489,20,50
292,7495,25,50
292,33034,NA,50
292,32394,10,50
292,33096,10,50
292,32507,50,50
292,7248,20,50
292,32203,10,50
292,32533,10,50
292,32472,15,50
292,7637,2,50
292,32380,10,50
292,7114,5,50
292,7101,10,50
292,32767,100,50
292,7227,4,50
292,7890,6,50
292,33126,20,50
292,32332,50,50
292,32702,25,50
292,32429,NA,50
292,28236,20,50
292,28659,10,50
292,28204,25,50
292,7100,10,50
292,7361,6,50
292,28750,20,50
292,7540,20,50
292,7016,NA,50
292,7888,3,50
292,32687,5,50
292,32689,5,50
292,32982,20,50
292,7939,3,50
292,32365,100,50
292,7281,10,50
292,32976,6,50
292,33132,20,50
292,32493,4,50
292,33055,25,50
292,32239,3,50
292,32665,10,50
292,7429,6,50
292,28402,24,50
292,8094,20,50
293,7014,50,50
293,28334,20,50
293,33008,2,50
293,33027,10,50
293,7650,5,50
293,7976,15,50
293,27929,10,50
293,33078,8,50
293,28432,10,50
293,7991,20,50
293,33115,20,50
293,7135,4,50
293,7138,25,50
293,7591,NA,50
293,7607,63,50
293,33142,3,50
293,7152,5,50
293,21183,100,50
293,28134,6,50
293,28271,4,50
293,32555,50,50
293,8394,8,50
293,33275,25,50
293,28175,20,50
293,7870,8,50
293,28305,5,50
293,7954,50,50
293,7893,5,50
293,7896,30,50
293,32201,NA,50
293,32364,10,50
293,28266,10,50
293,7961,25,50
293,32210,32,50
293,32872,NA,50
293,32331,5,50
293,28498,2,50
293,32415,7,50
293,7574,100,50
293,28043,NA,50
293,32404,10,50
293,28329,15,50
293,27959,10,50
293,32473,24,50
293,32407,9,50
293,21179,50,50
294,7926,20,50
294,28805,50,50
294,7393,5,50
294,7197,6,50
294,7721,4,50
294,32219,10,50
294,32389,4,50
294,7199,30,50
294,7226,10,50
294,7686,50,50
294,28140,20,50
294,28741,6,50
294,33204,10,50
294,7920,4,50
294,32226,10,50
294,32235,5,50
294,7915,6,50
294,32999,10,50
294,33001,10,50
294,32244,15,50
294,28192,3,50
294,7095,5,50
294,7970,6,50
294,32536,20,50
294,27921,3,50
294,7273,15,50
294,33081,8,50
294,32505,5,50
294,7990,NA,50
294,7147,25,50
294,7421,5,50
294,8012,12,50
294,7968,2,50
294,28712,16,50
294,28667,10,50
294,33180,10,50
294,33236,5,50
294,7420,30,50
294,28028,15,50
294,28171,15,50
294,28028,15,50
294,7966,20,50
294,7452,4,50
294,7044,7,50
294,7343,8,50
294,28072,5,50
294,32401,5,50
294,7459,3,50
295,32973,20,50
295,7351,10,50
295,28144,30,50
295,7560,6,50
295,28286,5,50
295,7088,1,50
295,28358,100,50
295,33202,5,50
295,7512,4,50
295,28210,4,50
295,7042,12,50
295,32945,10,50
295,28536,50,50
295,28830,10,50
295,28648,20,50
295,21182,1,50
295,32206,10,50
295,28669,5,50
295,8367,10,50
295,32209,100,50
295,7921,6,50
295,28273,8,50
295,7509,4,50
295,28020,20,50
295,28521,4,50
295,32347,3,50
295,33124,10,50
295,7279,2,50
295,32248,5,50
295,28349,4,50
295,32366,5,50
295,7904,NA,50
295,28217,10,50
295,32377,4,50
295,33116,37,50
295,8185,40,50
295,7590,1,50
295,28442,30,50
295,32525,NA,50
295,32434,NA,50
295,32652,9,50
295,8026,10,50
295,7787,2,50
295,32346,20,50
295,33194,NA,50
295,21174,10,50
295,28198,50,50
295,32725,4,50
295,32420,20,50
296,33207,4,50
296,28422,25,50
296,32200,5,50
296,7275,10,50
296,28322,3,50
296,32635,6,50
296,32825,10,50
296,7354,200,50
296,7364,30,50
296,7144,50,50
296,28291,6,50
296,28057,20,50
296,28177,100,50
296,7973,10,50
296,7142,6,50
296,7178,10,50
296,32483,25,50
296,32225,10,50
296,32368,10,50
296,7119,10,50
296,7126,10,50
296,28399,3,50
296,32497,10,50
296,7992,4,50
296,7449,50,50
296,21173,10,50
296,28184,20,50
296,8020,NA,50
296,7206,10,50
296,7187,50,50
296,8559,12,50
296,32575,12,50
296,28440,6,50
296,8416,NA,50
296,7807,20,50
296,28299,10,50
296,32737,100,50
296,7978,6,50
296,7905,NA,50
296,28077,20,50
296,7785,4,50
296,28114,30,50
296,28159,10,50
296,28387,10,50
296,28026,3,50
297,8138,6,2
297,7696,4,2
298,32398,5,2
298,32516,5,2
299,32521,1,2
299,8183,2,2
300,21178,4,2
300,28295,3,2
301,7646,6,2
301,8305,2,2
302,7160,1,2
302,7502,25,2
303,32583,2,2
303,7346,5,2
304,32524,0,2
304,32350,5,2
305,7924,6,2
305,7922,3,2
317,8327,11,2
317,8355,1,2
319,8225,4,2
319,8269,4,2
321,8295,5,2
321,8366,6,2
322,8335,3,2
322,8077,3,2
331,8149,100,2
331,8170,2,2
332,8136,4,2
332,8126,4,2
333,8096,2,2
333,8071,NA,2
335,8360,15,2
335,8386,25,2
337,8169,1,2
337,8391,4,2
338,8286,2,2
338,8308,10,2
339,8261,1,2
339,8267,500,2
341,8061,3,2
341,8053,6,2
343,8348,5,2
343,8388,20,2
345,8177,1,2
345,8049,50,2
349,9460,10,50
349,9755,20,50
349,8566,100,50
349,36048,NA,50
349,29837,20,50
349,35350,10,50
349,10341,40,50
349,33925,20,50
349,9476,1,50
349,35985,5,50
349,34139,10,50
349,9499,5,50
349,32298,20,50
349,30077,2,50
349,21229,5,50
349,35069,10,50
349,9575,5,50
349,9920,3,50
349,35277,NA,50
349,10361,NA,50
349,8466,20,50
349,33671,12,50
349,9479,20,50
349,21220,5,50
349,30022,NA,50
349,29496,100,50
349,36196,30,50
349,28977,28,50
349,8699,NA,50
349,10206,40,50
349,9011,6,50
349,35709,10,50
349,32295,5,50
349,9666,200,50
349,10046,10,50
349,34531,12,50
349,29729,30,50
349,36116,4,50
349,35353,3,50
349,8745,6,50
349,21203,20,50
349,8454,3,50
349,9149,5,50
349,9388,100,50
349,8816,50,50
349,9523,30,50
349,34457,5,50
349,9913,20,50
350,32260,50,50
350,8894,4,50
350,29277,10,50
350,9923,30,50
350,34921,6,50
350,9066,10,50
350,34816,6,50
350,8761,30,50
350,29041,7,50
350,34915,20,50
350,10126,NA,50
350,35123,10,50
350,35824,20,50
350,35702,20,50
350,29372,NA,50
350,32311,20,50
350,28951,10,50
350,29441,20,50
350,9761,1,50
350,8764,50,50
350,9082,20,50
350,33659,1,50
350,8733,10,50
350,35869,7,50
350,29646,12,50
350,8715,30,50
350,35442,50,50
350,10074,10,50
350,9408,NA,50
350,35026,5,50
350,9710,20,50
350,9201,3,50
350,21202,5,50
350,9478,15,50
350,8625,20,50
350,8835,30,50
350,35370,1,50
350,21221,15,50
350,34733,5,50
350,35028,30,50
350,28949,15,50
350,8744,3,50
350,36486,5,50
350,9173,6,50
350,29998,20,50
350,8861,1,50
350,35621,NA,50
351,9472,10,50
351,35309,40,50
351,10108,10,50
351,34062,NA,50
351,32252,10,50
351,33956,6,50
351,36132,10,50
351,10383,6,50
351,9110,0,50
351,29507,10,50
351,29760,NA,50
351,9573,100,50
351,8768,NA,50
351,9242,20,50
351,8907,10,50
351,35315,1,50
351,9887,9,50
351,34449,20,50
351,10230,10,50
351,36359,20,50
351,36378,100,50
351,9133,10,50
351,29503,5,50
351,29538,50,50
351,36172,15,50
351,29303,6,50
351,8823,5,50
351,35675,6,50
351,35414,10,50
351,9727,10,50
351,9870,20,50
351,10371,10,50
351,29878,10,50
351,8778,6,50
351,8629,15,50
351,35408,50,50
351,29964,4,50
351,34521,25,50
351,9406,100,50
351,36278,NA,50
351,8868,5,50
351,36296,12,50
351,9307,5,50
351,21194,55,50
351,21195,10,50
351,34536,30,50
351,32293,30,50
352,8562,3,50
352,29785,10,50
352,8542,5,50
352,8607,6,50
352,32310,15,50
352,8800,2,50
352,35500,10,50
352,9469,25,50
352,34758,5,50
352,8962,100,50
352,36188,10,50
352,8903,20,50
352,36143,50,50
352,36073,3,50
352,9209,5,50
352,32283,50,50
352,8932,20,50
352,9418,50,50
352,9587,50,50
352,35118,15,50
352,35499,20,50
352,10133,NA,50
352,9136,10,50
352,9095,10,50
352,9841,NA,50
352,32306,10,50
352,36326,50,50
352,35701,8,50
352,35800,8,50
352,10252,2,50
352,9014,20,50
352,10410,5,50
352,34151,1,50
352,10151,20,50
352,9401,20,50
352,9184,5,50
352,21227,NA,50
352,8854,10,50
352,35596,2,50
352,35976,5,50
352,29406,50,50
352,34999,10,50
352,9167,10,50
352,8623,3,50
352,8756,10,50
352,29354,15,50
353,8573,50,50
353,34021,10,50
353,10146,7,50
353,32297,5,50
353,34556,50,50
353,9212,6,50
353,9837,4,50
353,32305,10,50
353,8635,40,50
353,30118,10,50
353,36412,10,50
353,10262,10,50
353,33735,5,50
353,29912,7,50
353,10194,20,50
353,10277,4,50
353,35653,10,50
353,8951,5,50
353,29639,15,50
353,9234,5,50
353,33920,5,50
353,36503,5,50
353,32312,15,50
353,36461,NA,50
353,8931,12,50
353,8653,25,50
353,34891,20,50
353,10207,3,50
353,9495,6,50
353,9172,100,50
353,28914,20,50
353,8511,1,50
353,9602,10,50
353,8638,100,50
353,36433,25,50
353,9648,10,50
353,35646,35,50
353,35747,52,50
353,34968,4,50
353,32286,8,50
353,35918,3,50
353,35007,10,50
353,9347,50,50
353,9363,4,50
353,9613,3,50
357,34890,NA,2
357,33897,3,2
359,10484,1,2
359,11636,4,2
360,36390,6,2
360,36305,10,2
363,9397,5,2
363,9677,NA,2
366,33661,35,50
366,8874,5,50
366,29938,5,50
366,9966,NA,50
366,28880,20,50
366,8869,NA,50
366,9548,20,50
366,8690,5,50
366,10315,5,50
366,32265,20,50
366,36410,5,50
366,9127,2,50
366,36184,25,50
366,34579,5,50
366,34247,4,50
366,34259,10,50
366,21211,20,50
366,28965,25,50
366,34365,4,50
366,35080,10,50
366,9405,12,50
366,29269,10,50
366,8736,NA,50
366,34124,10,50
366,8423,NA,50
366,29914,15,50
366,9278,2,50
366,29624,4,50
366,8760,5,50
366,8972,4,50
366,34339,10,50
366,36520,20,50
366,9037,25,50
366,21190,5,50
366,32266,2,50
366,36507,10,50
366,32269,100,50
366,36428,10,50
366,34736,25,50
366,34848,6,50
366,35935,6,50
366,29621,10,50
366,9036,100,50
366,35402,10,50
366,29443,20,50
366,36365,20,50
366,35532,1,50
366,29229,14,50
366,34488,30,50
366,36482,4,50
370,11931,20,50
370,11064,10,50
370,11911,10,50
370,11983,5,50
370,10517,1,50
370,10646,1,50
370,11295,6,50
370,12145,20,50
370,11889,20,50
370,12302,3,50
370,10716,10,50
370,11892,50,50
370,11894,1,50
370,11924,100,50
370,10765,1,50
370,11910,15,50
370,10451,5,50
370,11127,4,50
370,12157,7,50
370,11049,10,50
370,10521,50,50
370,11306,50,50
370,12324,10,50
370,11965,6,50
370,11066,6,50
370,11376,1,50
370,11514,25,50
370,10944,20,50
370,10590,20,50
370,11901,14,50
370,10447,5,50
370,11604,5,50
370,12146,100,50
370,12185,NA,50
370,11843,10,50
370,12105,10,50
370,12106,5,50
370,12036,0,50
370,10559,25,50
370,12338,100,50
370,12003,10,50
370,12046,4,50
370,11212,NA,50
370,11005,10,50
370,11028,100,50
371,12010,50,50
371,12268,100,50
371,10459,10,50
371,12221,3,50
371,11923,2,50
371,10928,15,50
371,11150,NA,50
371,11379,8,50
371,11074,3,50
371,11110,4,50
371,11102,40,50
371,12067,10,50
371,11472,50,50
371,10802,10,50
371,11466,200,50
371,11293,20,50
371,12307,100,50
371,10912,3,50
371,11143,6,50
371,11929,5,50
371,10621,25,50
371,11087,20,50
371,11745,4,50
371,11724,100,50
371,10971,2,50
371,12391,NA,50
371,12091,2,50
371,11123,20,50
371,11418,10,50
371,12434,100,50
371,11315,2,50
371,10994,5,50
371,12237,20,50
371,12133,12,50
371,11898,NA,50
371,11365,5,50
371,11755,10,50
371,11771,10,50
371,10604,12,50
371,10622,50,50
371,12369,7,50
371,11921,20,50
371,12027,10,50
371,12062,6,50
371,12376,NA,50
371,11820,20,50
372,11500,10,50
372,10735,10,50
372,12250,6,50
372,11627,10,50
372,12241,1,50
372,11527,3,50
372,11891,20,50
372,11535,5,50
372,10744,15,50
372,12274,50,50
372,11912,5,50
372,11647,5,50
372,11947,4,50
372,12310,200,50
372,11336,NA,50
372,12280,20,50
372,11976,NA,50
372,11012,8,50
372,11188,50,50
372,10807,9,50
372,12009,20,50
372,11055,3,50
372,11136,4,50
372,10791,20,50
372,10997,1,50
372,11492,NA,50
372,11943,6,50
372,10489,4,50
372,10939,25,50
372,11900,10,50
372,12296,100,50
372,12326,NA,50
372,10642,3,50
372,12103,15,50
372,11044,6,50
372,11404,20,50
372,11413,7,50
372,11065,50,50
372,10916,50,50
372,12429,7,50
372,12421,10,50
372,11154,8,50
372,11164,1,50
372,10953,10,50
374,10573,7,2
374,10948,1,2
380,12323,1,2
380,12230,20,2
383,11133,50,50
383,12104,4,50
383,10645,20,50
383,11272,10,50
383,11042,20,50
383,11471,20,50
383,11487,30,50
383,12290,20,50
383,11395,5,50
383,10958,2,50
383,12300,2,50
383,12162,30,50
383,10471,20,50
383,10830,1,50
383,10880,5,50
383,10679,10,50
383,10687,15,50
383,12117,3,50
383,11893,5,50
383,11081,10,50
383,10437,10,50
383,11751,5,50
383,11189,150,50
383,11551,24,50
383,10460,3,50
383,12299,10,50
383,11268,5,50
383,10988,15,50
383,12015,20,50
383,11480,5,50
383,11925,2,50
383,11356,NA,50
383,10930,10,50
383,12038,0,50
383,11016,50,50
383,12021,100,50
383,11747,8,50
383,11034,20,50
383,12330,10,50
383,11002,20,50
383,11131,10,50
383,10667,100,50
383,11984,10,50
383,11004,NA,50
383,10546,20,50
383,11819,5,50
392,46420,30,8
392,38019,8,8
392,46990,3,8
392,46079,10,8
392,38761,1,8
392,42804,10,8
392,42840,8,8
393,46128,NA,8
393,46897,5,8
393,42833,50,8
393,38339,6,8
393,37995,5,8
393,46923,50,8
393,42838,1,8
393,46909,10,8
394,46369,10,8
394,38277,NA,8
394,46661,100,8
394,38173,0,8
394,38062,NA,8
394,42824,6,8
394,42797,10,8
394,38765,3,8
395,37950,100,8
395,46394,NA,8
395,46455,5,8
395,38468,5,8
395,46739,25,8
395,47016,NA,8
395,38472,5,8
396,46937,12,8
396,38379,50,8
396,42830,10,8
396,37986,15,8
396,38006,10,8
396,46333,100,8
396,38166,3,8
396,42839,5,8
397,42809,100,8
397,38038,NA,8
397,46216,30,8
397,38337,5,8
397,42828,4,8
397,38106,10,8
397,38046,NA,8
397,46892,6,8
398,13485,50,8
398,14283,NA,8
398,14148,10,8
398,14225,5,8
398,15318,6,8
398,13935,4,8
398,14789,100,8
399,14834,10,8
399,13474,15,8
399,14214,100,8
399,13750,12,8
399,15680,100,8
399,14775,NA,8
399,14952,10,8
400,15245,10,2
400,15414,2,2
401,38378,1,2
401,38732,2,2
402,14147,2,2
402,14798,1,2
403,38067,8,2
403,38078,2,2
405,15006,100,2
405,14733,10,2
406,14774,6,2
406,14221,4,2
407,14930,4,2
407,14961,4,2
409,38205,2,2
409,38168,6,2
410,13947,2,6
410,15326,4,6
410,15764,3,6
410,13495,15,6
410,14933,4,6
410,15211,25,6
411,14787,4,6
411,15521,12,6
411,14665,20,6
411,14188,4,6
411,15451,6,6
411,14710,NA,6
412,14289,15,6
412,14026,8,6
412,14343,4,6
412,13567,1,6
412,15024,NA,6
412,15333,10,6
413,14192,1,6
413,13513,8,6
413,15859,NA,6
413,15789,NA,6
413,15859,NA,6
413,13534,NA,6
413,14656,1,6
414,15138,10,6
414,15726,4,6
414,13769,1,6
414,15316,10,6
414,15317,NA,6
415,15552,100,6
415,14090,10,6
415,14772,30,6
415,14847,4,6
415,15557,10,6
415,13909,65,6
416,13544,200,6
416,14688,10,6
416,13488,10,6
416,13676,5,6
416,15661,20,6
416,13503,7,6
417,15826,100,6
417,13690,2,6
417,14458,20,6
417,13563,12,6
417,15798,5,6
417,14661,6,6
418,14205,30,6
418,15294,25,6
418,13508,0,6
418,14129,4,6
418,13825,10,6
418,14936,20,6
419,13604,5,6
419,14014,30,6
419,13919,20,6
419,13884,3,6
419,15430,4,6
420,13452,6,6
420,15881,3,6
420,13872,10,6
420,15288,6,6
420,14520,2,6
420,15753,6,6
421,15277,10,6
421,15853,25,6
421,14779,4,6
421,15092,NA,6
421,15219,3,6
422,13473,100,6
422,14176,10,6
422,14533,30,6
422,15884,20,6
422,14049,50,6
422,15177,25,6
425,13932,7,8
425,13765,3,8
425,15637,10,8
425,15229,3,8
425,14523,4,8
425,14352,1,8
425,15750,25,8
425,14902,5,8
426,15769,30,8
426,14053,2,8
426,15540,2,8
426,15457,5,8
426,14076,10,8
426,14395,NA,8
426,13867,NA,8
426,15504,10,8
427,15135,5,8
427,15808,2,8
427,15252,4,8
427,15243,20,8
427,15319,10,8
427,14871,20,8
427,15601,100,8
428,13881,20,8
428,15785,2,8
428,15606,3,8
428,14906,4,8
428,15579,15,8
428,15468,10,8
428,15875,3,8
428,14448,3,8
429,14549,20,8
429,14115,10,8
429,15129,4,8
429,14880,20,8
429,13688,10,8
429,13573,10,8
429,14204,NA,8
430,14718,6,8
430,15445,10,8
430,15477,2,8
430,14495,12,8
430,14180,2,8
430,13802,10,8
430,14696,4,8
430,15469,50,8
431,15250,50,8
431,15094,4,8
431,14963,4,8
431,14075,5,8
431,15888,10,8
431,14802,5,8
431,14218,NA,8
431,13806,5,8
432,14222,50,8
432,13451,100,8
432,15435,10,8
432,14717,0,8
432,14357,3,8
432,14732,50,8
432,14231,NA,8
432,13928,3,8
433,13689,10,8
433,14804,2,8
433,13758,5,8
433,14314,5,8
433,15331,6,8
433,15505,10,8
433,14444,20,8
434,15688,2,6
434,14820,20,6
434,14031,3,6
434,14248,20,6
434,14801,20,6
434,14564,20,6
435,14926,1,6
435,15595,2,6
435,14702,20,6
435,14412,NA,6
435,15463,19,6
436,13972,5,6
436,15751,5,6
436,15085,NA,6
436,14946,NA,6
436,14447,15,6
436,14476,5,6
437,15770,20,6
437,13863,4,6
437,15209,50,6
437,14876,6,6
437,15572,5,6
438,14971,6,6
438,13481,4,6
438,13531,7,6
438,15805,20,6
438,14806,1,6
